suite,query,plan,plan_kind,source_file,repetition,execution_order,seconds,status,error
job,2d,rewrite2,rewrite,job-2d/rewrite2.sql,4,131,1.689000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,4,132,8.662000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,4,133,4.490000000,ok,
lsqb,q1,rewrite7,rewrite,lsqb-q1/rewrite7.sql,4,134,1.111000000,ok,
job,15d,rewrite8,rewrite,job-15d/rewrite8.sql,4,135,3.608000000,ok,
job,22d,rewrite3,rewrite,job-22d/rewrite3.sql,4,136,4.956000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,4,137,1.104000000,ok,
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,4,138,2.480000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,4,139,5.042000000,ok,
job,17a,query,original,job-17a/query.sql,4,140,6.606000000,ok,
job,15d,rewrite2,rewrite,job-15d/rewrite2.sql,4,141,4.264000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,4,142,4.131000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,4,143,5.282000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,4,144,1.598000000,ok,
job,15d,rewrite7,rewrite,job-15d/rewrite7.sql,4,145,2.234000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,4,146,6.532000000,ok,
job,22d,query,original,job-22d/query.sql,4,147,9.999000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,4,148,3.919000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,4,149,6.509000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,4,150,1.602000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,4,151,5.545000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,4,152,1.165000000,ok,
job,15d,query,original,job-15d/query.sql,4,153,5.322000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,4,154,10.081000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,4,155,7.039000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,4,156,1.109000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,4,157,1.568000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,4,158,7.577000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,4,159,2.856000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,4,160,1.161000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,4,161,4.355000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,4,162,4.076000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,4,163,6.554000000,ok,
job,15d,rewrite3,rewrite,job-15d/rewrite3.sql,4,164,2.471000000,ok,
lsqb,q1,query,original,lsqb-q1/query.sql,4,165,4.751000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,4,166,4.470000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,4,167,7.284000000,ok,
job,22d,rewrite7,rewrite,job-22d/rewrite7.sql,4,168,14.458000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,5,169,2.675000000,ok,
job,15d,rewrite7,rewrite,job-15d/rewrite7.sql,5,170,2.305000000,ok,
job,2d,rewrite2,rewrite,job-2d/rewrite2.sql,5,171,1.778000000,ok,
job,15d,rewrite2,rewrite,job-15d/rewrite2.sql,5,172,4.104000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,5,173,1.320000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,5,174,7.418000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,5,175,3.712000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,5,176,1.177000000,ok,
job,15d,rewrite8,rewrite,job-15d/rewrite8.sql,5,177,3.567000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,5,178,4.363000000,ok,
job,22d,query,original,job-22d/query.sql,5,179,9.703000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,5,180,4.357000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,5,181,4.969000000,ok,
job,17a,query,original,job-17a/query.sql,5,182,7.570000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,5,183,1.301000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,5,184,6.726000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,5,185,10.572000000,ok,
lsqb,q1,rewrite7,rewrite,lsqb-q1/rewrite7.sql,5,186,1.130000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,5,187,3.273000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,5,188,3.823000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,5,189,4.247000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,5,190,8.354000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,5,191,1.035000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,5,192,7.744000000,ok,
lsqb,q1,query,original,lsqb-q1/query.sql,5,193,4.644000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,5,194,5.031000000,ok,
job,22d,rewrite3,rewrite,job-22d/rewrite3.sql,5,195,5.288000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,5,196,1.566000000,ok,
job,15d,query,original,job-15d/query.sql,5,197,5.806000000,ok,
job,22d,rewrite7,rewrite,job-22d/rewrite7.sql,5,198,15.134000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,5,199,1.031000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,5,200,2.693000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,5,201,6.592000000,ok,
job,2d,query,original,job-2d/query.sql,5,202,1.346000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,5,203,3.857000000,ok,
job,15d,rewrite3,rewrite,job-15d/rewrite3.sql,5,204,2.745000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,5,205,6.896000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,5,206,5.873000000,ok,
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,5,207,2.509000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,5,208,1.619000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,5,209,6.669000000,ok,
lsqb,q1,rewrite3,rewrite,lsqb-q1/rewrite3.sql,5,210,1.010000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,6,211,1.648000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,6,212,4.193000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,6,213,4.021000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,6,214,1.252000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,6,215,1.591000000,ok,
lsqb,q1,rewrite7,rewrite,lsqb-q1/rewrite7.sql,6,216,1.124000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,6,217,8.194000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,6,218,6.782000000,ok,
job,2d,query,original,job-2d/query.sql,6,219,1.301000000,ok,
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,6,220,2.565000000,ok,
job,15d,rewrite7,rewrite,job-15d/rewrite7.sql,6,221,2.215000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,6,222,1.004000000,ok,
